id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,132,32,24,2022-09-05,0.26,1,135,3,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,99,3,118,2022-12-05,0.70,10,5,8,Approved by the government
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,230,3,123,2022-11-18,0.76,10,1,7,STR446650
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,75,91,25,2020-04-15,0.25,6,364,0,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,140,29,5,2020-12-02,0.06,11,364,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,135,33,2,2016-05-23,0.02,11,364,0,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air | Walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,136,30,52,2019-10-05,0.34,27,243,0,
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,103,2022-10-21,0.67,1,0,5,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,13,91,2022-10-18,0.61,1,259,6,STR-461832
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,136,2022-09-24,0.91,1,55,4,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,334,2022-09-17,2.23,6,227,3,STR-457920
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,143,2022-09-01,0.98,5,179,2,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,103,91,47,2021-12-01,0.38,6,362,0,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,120,2019-11-15,0.85,5,0,0,STR-415714
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,2,64,2022-10-10,0.47,1,358,7,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,65,1,302,2022-07-22,2.10,6,97,20,STR-457920
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,232,3,251,2022-10-26,1.82,10,3,15,STR446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,109,2022-10-23,0.79,6,0,16,STR-457920
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,257,29,0,,,3,90,0,
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,65,7,83,2022-05-31,0.60,1,174,7,STR-384505
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,56,30,53,2022-07-31,0.39,1,50,2,C0245420351
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,119,5,457,2022-12-03,3.36,1,13,36,STR-409453
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,128,3,255,2022-12-06,1.86,1,207,31,STR-414064
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,170,3,293,2022-11-14,2.14,1,32,32,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,277,2,420,2022-12-11,3.31,1,217,44,STR-411297
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,248,1,121,2022-10-24,0.92,6,0,7,STR-457920
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,54,1,35,2022-11-25,0.28,6,350,9,STR-457920
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,75,5,362,2022-11-15,2.83,1,215,26,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.14,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.07,1,0,0,
530983,14P · The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,257,30,67,2019-10-29,0.54,27,258,0,
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,128,30,60,2022-10-15,0.57,27,350,3,
561769,12P · The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,123,30,64,2022-08-06,0.51,27,342,2,
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28834,-71.05505,Private room,175,3,98,2021-11-01,0.86,1,79,0,STR-416760
579605,230B3  · The Mayhew w/Central AC and Laundry! | 2BR 1BA w/En-Suite HdTV's | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,136,30,57,2022-11-19,0.45,27,315,2,
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,149,91,12,2017-07-05,0.10,1,0,0,
601763,"25A2 · The Alameda 2 w/AC | 2BR 1BA w/En-Suite HdTV's | Short walk to train, shops and near Faulkner!",71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,138,30,42,2022-07-13,0.60,27,306,3,
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,169,1,70,2022-10-11,0.92,3,323,16,STR-416892
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.377338,-71.063095,Entire home/apt,175,91,169,2022-02-16,1.34,1,323,1,
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,213,1,8,2022-05-30,0.10,1,168,1,STR-398090
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37926,-71.06364,Entire home/apt,207,2,409,2022-12-05,3.30,1,300,35,STR-401905
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30702,-71.11283,Entire home/apt,689,4,70,2020-10-05,0.59,1,264,0,STR-454183
750438,Private room/bath 7 min to subway verdant/peaceful,3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,95,2,235,2022-11-16,2.02,1,79,21,STR-465441
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,1.60,1,365,0,STR-397984
766700,"N4 Little Italy, Historic, Freedom Trail,TD Garden",3637081,Sarah,,North End,42.3657,-71.05618,Entire home/apt,99,1,643,2022-12-04,5.53,13,113,91,Exempt: This listing is a unit used for furnished institutional or business stays
789843,One Bedroom Condo with Private Roof Deck,4161865,Ally,,Back Bay,42.35244,-71.0852,Entire home/apt,200,2,38,2022-12-11,0.38,1,31,36,STR-467813
801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,Terry,,Roxbury,42.32795,-71.09412,Entire home/apt,166,3,63,2022-06-25,0.51,10,8,4,STR446651
815639,"N1 Lil Italy, Historic, Freedom Trail, TD Garden",3637081,Sarah,,North End,42.36695,-71.05601,Entire home/apt,115,1,749,2022-12-04,6.45,13,105,99,STR-445691
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,213,2,79,2022-04-19,0.67,2,290,1,STR-411359
849408,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,Damon,,Roslindale,42.29038,-71.13919,Entire home/apt,499,7,78,2022-11-14,0.71,1,206,1,STR-403983
863788,South End 2BR 2BA Pets OK Walk to BU/Tufts Medical,775932,Andy & Daljit,,South End,42.344162,-71.070381,Entire home/apt,595,30,17,2022-10-01,0.14,1,86,5,STR-397937
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.3665,-71.05296,Entire home/apt,129,2,564,2022-12-10,4.75,1,107,74,STR-400168
894539,Private room in house,4762495,Jennifer,,Roslindale,42.29017,-71.13169,Private room,90,7,63,2022-08-30,0.56,2,111,1,STR-408484
916123,"N3 Little Italy Historic, Freedom Trail, TD Garden",3637081,Sarah,,North End,42.36541,-71.05404,Entire home/apt,125,1,739,2022-12-05,6.28,13,90,103,STR-445691
973695,Best Location Luxury Beacon Hill North End Condo,1760577,Claire,,Downtown,42.35888,-71.06032,Entire home/apt,263,91,61,2022-09-11,0.54,1,365,1,
989163,"The Dalton | The Upton, South End",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,164,1,70,2022-11-07,0.62,7,101,8,Exempt: This listing is a hotel or motel
1055627,Spacious 1 bdrm in Beacon Hill,4299002,Lauren,,Downtown,42.36194,-71.06256,Entire home/apt,160,91,8,2018-09-09,0.07,2,0,0,
1077105,"Studio Apt. for Rent in South End,",5927277,J,,South End,42.34022,-71.075,Entire home/apt,176,91,0,,,1,0,0,
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33395767211914,-71.10222625732422,Entire home/apt,103,91,32,2019-05-18,0.27,6,226,0,
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.32031,-71.1129,Entire home/apt,448,2,89,2022-12-11,0.79,1,176,7,STR-399217
1130279,"3BR North End - Spacious, Perfect Location!",2494599,Trisha,,North End,42.36489,-71.05198,Entire home/apt,539,2,105,2022-11-26,0.90,1,281,19,STR-466324
1252489,Beacon Hill 1-Bed,6824319,Samantha,,Beacon Hill,42.35977,-71.06774,Entire home/apt,207,91,65,2017-08-28,0.56,1,0,0,
1275498,"The Washington | The Upton, South End",5430185,Laura And Olivia,,South End,42.34294,-71.07304,Entire home/apt,225,2,83,2022-12-04,0.73,7,77,18,Exempt: This listing is a hotel or motel
1303261,Historic Beacon Hill,2120816,Larry,,Beacon Hill,42.35714,-71.06968,Entire home/apt,425,91,23,2018-10-25,0.21,1,358,0,
1321422,2 bedroom 1st Floor Apartment in Savin Hill,6608084,CarneyFamily,,Dorchester,42.30907,-71.04674,Entire home/apt,130,6,600,2022-08-31,5.22,2,0,21,STR-396781
1327725,Modern 2 BR in Brighton with Parking,7205617,Mikhail,,Brighton,42.346,-71.1399,Entire home/apt,102,4,303,2022-12-01,2.64,1,72,2,STR-401646
1340649,1BR in Charming South Boston Condo/Red Line/Beach,7271526,Michaela,,South Boston,42.3281,-71.05697,Private room,60,91,32,2022-11-16,0.32,1,270,1,
1374434,"Authentic Boston, cozy room",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,70,28,43,2022-07-30,0.38,5,145,2,STR-415714
1374466,"Real Boston, off the beaten track",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,74,29,40,2022-03-26,0.37,5,178,1,STR-415714
1403408,Big Boston room,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,75,29,23,2022-11-30,0.20,5,126,3,STR-415714
1425973,Historic brick Victorian row house,1015632,Viktoria,,South End,42.34164,-71.07964,Private room,349,2,35,2022-10-14,0.31,1,92,8,STR-446784
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,,Charlestown,42.38017,-71.06236,Private room,52,29,111,2022-10-31,0.98,1,133,2,C0149490351
1472520,Andrea's Private Bath T Downtown,6608084,CarneyFamily,,Dorchester,42.30856,-71.04646,Private room,80,3,624,2022-11-20,5.49,2,0,25,STR-396781
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,,Charlestown,42.38324,-71.07852,Entire home/apt,199,2,47,2022-11-07,0.42,1,0,5,STR-447717
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,,Charlestown,42.37243,-71.06349,Entire home/apt,350,3,47,2022-10-24,0.91,1,108,18,STR-398614
1545185,Large 1 Bed Apt w/ Full Kitchen & Bath + Parking!,697401,Nick,,Brighton,42.34873,-71.15693,Entire home/apt,125,1,219,2022-12-04,1.95,3,11,57,STR-383211
1551205,2 bed/2 bath in the heart of Boston,8261931,Hamed,,Fenway,42.34175,-71.08359,Entire home/apt,415,91,43,2016-10-21,0.38,1,364,0,
1596470,4-story Central Luxury-two blocks to Boston Common,480310,Michael,,Bay Village,42.34988,-71.06918,Entire home/apt,500,7,148,2022-09-01,1.32,1,38,7,STR-466119
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,,Roxbury,42.3256,-71.09413,Private room,43,45,24,2022-03-31,0.42,4,118,1,STR-383293
1644031,Large Private Bedroom & Bathroom by the Seaport,79583794,Joshua,,South Boston,42.33835,-71.0472,Private room,91,1,399,2022-12-19,4.81,1,78,92,STR-401177
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28132,-71.13377,Private room,58,29,38,2022-02-26,0.34,2,0,1,
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Julia,,Brighton,42.35103,-71.17252,Entire home/apt,100,30,47,2020-03-08,0.42,1,357,0,STR-410175
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32382,-71.09641,Entire home/apt,125,30,235,2022-10-10,2.19,3,364,2,Exempt: This listing is a unit used for furnished institutional or business stays
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31293,-71.11527,Entire home/apt,160,2,256,2022-11-06,2.30,1,312,25,STR-447499
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28639,-71.13199,Entire home/apt,74,29,11,2022-11-30,0.11,2,292,4,
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28447,-71.13301,Entire home/apt,250,29,44,2020-11-30,0.39,2,364,0,
1732804,Private room/ must love dogs 🐕 🐶,9090219,Thomas,,Dorchester,42.29009,-71.05762,Private room,57,1,163,2022-11-27,1.45,1,341,27,STR-398497
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28127,-71.13304,Private room,69,29,44,2022-09-30,0.40,2,354,3,
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34279,-71.0711,Entire home/apt,995,5,50,2022-10-05,0.48,1,194,6,STR-406406
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34981,-71.09476,Entire home/apt,275,91,2,2018-05-24,0.02,4,362,0,
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.35985,-71.0717,Entire home/apt,239,91,1,2015-07-24,0.01,1,0,0,
1956275,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",9622924,Emmanuel,,Jamaica Plain,42.3079,-71.12378,Entire home/apt,1299,91,105,2019-05-20,0.97,1,0,0,
2000797,"Private balcony&kitchenette, 15min to ctr,safe st",9898255,Jessica,,Dorchester,42.31465,-71.0624,Private room,95,2,176,2022-11-07,1.71,5,346,26,STR-443035
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30593,-71.10733,Private room,120,91,38,2019-09-02,0.35,1,365,0,
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34245,-71.15758,Private room,75,3,279,2022-12-17,2.69,2,194,43,STR-415415
2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,10197317,Shannon,,South Boston,42.3358,-71.04948,Entire home/apt,552,1,9,2022-05-22,0.12,4,128,1,STR-383155
2021489,Spacious Updated Boston Room/Condo,10197317,Shannon,,South Boston,42.33375,-71.04767,Private room,220,29,86,2022-08-31,1.06,4,313,1,STR-383155
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.3504,-71.08891,Entire home/apt,70,91,34,2016-08-14,0.31,1,0,0,
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.35771,-71.06978,Entire home/apt,165,29,115,2022-12-01,1.09,1,222,4,STR-395757
2141306,Modern 2Bd1BA in Downtown Boston,5355690,Kyle,,Downtown,42.3559,-71.05998,Entire home/apt,300,91,7,2017-06-18,0.06,1,0,0,
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,,North End,42.36446,-71.05429,Entire home/apt,195,91,169,2019-12-16,1.58,1,216,0,
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,,Allston,42.34995,-71.13427,Entire home/apt,85,30,50,2022-11-19,0.52,1,37,1,
2215762,"The Clare | The Upton, South End",5430185,Laura And Olivia,,South End,42.34303,-71.07305,Entire home/apt,169,3,56,2022-11-24,0.53,7,160,12,Exempt: This listing is a hotel or motel
2262752,"Spacious, Comfortable and Cozy",11554621,Gretjen,,Jamaica Plain,42.30554,-71.10685,Private room,161,31,8,2014-07-02,0.07,2,365,0,
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,,South End,42.34125,-71.07604,Entire home/apt,110,33,76,2022-07-13,0.76,6,236,3,
2372987,Modern South End Pied a Terre | 1BR 1BA,814298,Thatch,,South End,42.33662,-71.0753,Entire home/apt,200,28,88,2020-03-29,0.82,70,355,0,STR-416007
2378421,Light-filled Private Suite on Beautiful Street,12150111,A And L,,Jamaica Plain,42.31146,-71.11947,Entire home/apt,175,2,167,2022-11-04,1.58,2,92,19,STR-413453
2395326,* Brownstone Classic South End,12230539,Tim,,South End,42.34568,-71.07169,Entire home/apt,119,29,408,2020-09-20,3.81,1,0,0,STR-416118
2410846,"Sunny Beacon Hill, corner unit top floor",3137257,Local Furnished,,Downtown,42.35702,-71.06168,Entire home/apt,135,91,36,2020-11-25,0.35,1,93,0,
2495047,"The Tremont | The Upton, South End",5430185,Laura And Olivia,,South End,42.34309,-71.07316,Entire home/apt,175,2,60,2022-10-28,0.60,7,222,21,Exempt: This listing is a hotel or motel
2526773,Charming comfort 1 BR / Studio,12165186,Masha,,Brighton,42.34272,-71.15672,Entire home/apt,52,91,18,2022-08-20,0.18,2,42,2,
2658094,"Beautiful Boston North End spacious Light 2Bd, 1BA-2D",5578043,Dror,,North End,42.36597,-71.05271,Entire home/apt,99,32,145,2020-11-09,1.40,4,365,0,
2672058,"Modern loft, walk to subway",13565868,Christie,,Allston,42.35429,-71.13251,Private room,85,91,12,2016-09-09,0.11,1,0,0,
2701124,Charlesview Suites Back Bay,13822322,Varouj,,Back Bay,42.34492,-71.08482,Entire home/apt,280,29,79,2022-07-06,0.78,1,365,1,STR-416239
2723274,Lofty Modern 2BD Apt 800 sq ft,8790904,Albert,,Bay Village,42.34868,-71.07043,Entire home/apt,200,29,26,2019-10-27,0.25,1,0,0,STR-398102
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35902,-71.06296,Entire home/apt,150,365,100,2019-08-21,0.97,1,111,0,
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,887148,Dawn,,Charlestown,42.38148,-71.06967,Private room,595,5,0,,,3,365,0,Exempt: This listing is a unit that has contracts with hospitals
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,,Hyde Park,42.26043,-71.11766,Entire home/apt,250,2,109,2022-10-16,1.04,1,0,9,STR-429200
3129309,"N5 TDGarden, Location, Freedom Trail, Lil Italy",3637081,Sarah,,North End,42.36693,-71.05624,Entire home/apt,125,2,406,2019-11-17,3.90,13,61,0,Exempt: This listing is a unit that has contracts with hospitals
3164650,2bd APT 20min from Downtown Boston,16052189,Jonathan,,Hyde Park,42.23533,-71.13256,Entire home/apt,75,29,34,2022-09-17,0.33,5,234,1,
3193484,2 Minutes Walk  to the Red Line!,16186589,Marie,,Dorchester,42.28814,-71.06889,Private room,45,30,9,2022-11-28,0.10,27,364,2,
3229255,1bd Boston apt - Convenient & quiet,16343599,Ella & Will,,Roslindale,42.28657,-71.13236,Entire home/apt,175,3,135,2022-11-27,1.32,1,118,16,STR-399016
3294152,"Garden Suite near subway, beach",9898255,Jessica,,Dorchester,42.31281,-71.06098,Entire home/apt,123,2,227,2022-11-09,2.20,5,249,17,STR-443035
3302294,Back Bay Amazing Location,1369968,Christopher,,Back Bay,42.35311,-71.08213,Entire home/apt,135,29,253,2022-01-02,2.44,1,81,1,
3316049,Beautiful Junior 1-bedroom apartment,16742781,Jerry,,South End,42.34512,-71.06492,Entire home/apt,140,91,0,,,1,364,0,
3343428,Brownstone Bedroom Park & Garden Views by LMA & T,11228809,Jonathan,,Roxbury,42.32811,-71.09157,Private room,55,2,331,2022-12-18,3.90,5,37,75,STR-468241
3344322,"Eagle Sea view,15min metro ride to center,safe st!",9898255,Jessica,,Dorchester,42.31311,-71.06232,Private room,77,2,141,2022-11-05,1.37,5,292,35,STR-443035
3441982,New Stylish Modern Studio,13819661,Jen,,Roxbury,42.31907,-71.09252,Entire home/apt,95,1,132,2022-12-13,2.57,1,28,10,STR-396299
3457722,"Sunlit w/ huge kitchen, parking & easy to downtown",6209951,Jeff And Rachel,,Brighton,42.35564,-71.15746,Entire home/apt,260,5,52,2022-07-16,0.51,1,1,3,str-396130
3463914,4th of July Dream Spot!,17452489,Nathaniel,,Back Bay,42.351,-71.08899,Entire home/apt,248,91,27,2016-07-17,0.26,1,0,0,
3493840,"Beautiful, Comfortable and Cozy",11554621,Gretjen,,Jamaica Plain,42.3063,-71.1061,Private room,98,31,7,2020-03-15,0.07,2,283,0,
3520353,Luxury Beacon Hill Apartment 1-BR,6508758,Xerxes,,Beacon Hill,42.35884,-71.06332,Entire home/apt,288,91,254,2022-10-02,2.49,1,213,2,
3521944,"Beautiful, Quiet, and Safe!",17735272,David,,West Roxbury,42.29742,-71.157,Entire home/apt,119,91,4,2014-09-14,0.04,1,0,0,
3539510,230B2 · The Roseclair w/Central AC and IN-unit Laundry! | 3BR 1BA w/En-Suite HdTV's | 2nd Floor near UMass Boston Redline!,71783,Lance,,Dorchester,42.32213,-71.06094,Entire home/apt,154,30,31,2019-06-13,0.31,27,297,0,
3544343,Beacon Hill!! Feet Fom State House,17843002,Christian,,Downtown,42.35844,-71.06153,Entire home/apt,100,91,0,,,1,0,0,
3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",18150109,Alex,,Roxbury,42.32843,-71.09369,Entire home/apt,195,91,254,2019-11-16,2.54,4,365,0,STR-471474
3605045,Immaculate space with off street parking!,18165984,Stacey,,Dorchester,42.28512,-71.07672,Shared room,200,1,5,2019-05-19,0.05,1,180,0,STR-460055
